STUDENT_ID,X1POVERTY,X1CONTROL,X1LOCALE,X1REGION,S2SEX,S2FRDROPOUT,S2EDUASP,S2EDUEXP,S2SUREBA,S2CLG2013,S2GOVLOAN,S2OCC30EARN,S2FAVSUBJ,S2CANTAFFORD,S2ACADEMIC,S2CANTSEND,S2HSJOBEVER,S2HSJOBHR,S3ANYCLGCRED,S3DUAL,S3APMATH,S3APSCIENCE,S3CNSLCLG,S3CLGINFLU,X1FAMINCOME,X3TGPATOT,X1RACE
10185,-8,Public,Suburb,West,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2.5,4
10186,-8,Public,City,South,Female,1,2,2,3,2,-7,-7,6,3,0,-7,0,-7,1,3,0,0,2,6,-8,2.5,2
10187,0,Public,Suburb,Northeast,Female,0,8,4,2,1,1,-7,6,3,0,0,1,20,0,-7,-7,-7,2,4,6,2.5,6
10189,-8,Private,City,West,Female,0,6,10,2,1,1,-7,1,2,0,0,0,-7,1,2,0,1,1,4,-8,3.5,2
10190,-8,Public,Town,Midwest,Male,0,2,2,3,3,1,-7,3,4,0,0,1,30,-9,-9,-9,-9,2,4,-8,2,8
10191,0,Private,Rural,Midwest,Female,2,7,6,3,1,-9,-7,3,3,0,0,0,-7,0,-7,-7,-7,-7,5,4,3,1
10192,1,Public,Town,Northeast,Male,1,7,12,1,1,2,200000,2,2,1,0,1,-9,1,2,1,0,1,10,2,2.5,7
10193,0,Private,City,West,Female,0,6,10,1,1,2,-7,11,3,1,-7,1,5,1,2,0,0,1,10,13,3.5,8
10194,0,Private,City,South,Male,0,6,8,2,1,2,90000,6,4,0,0,0,-7,0,-7,-7,-7,3,4,8,3.5,8
10195,0,Public,Rural,South,Male,0,8,6,2,2,3,-7,8,3,0,0,0,-7,1,1,1,1,2,4,4,3.5,6
10196,-8,Private,City,Midwest,Female,0,7,8,2,1,1,-9,6,3,0,0,1,20,0,-7,-7,-7,1,12,-8,3,-9
10197,-8,Private,City,South,Male,0,6,13,2,1,2,50000,7,2,1,1,0,-7,-8,-8,-8,-8,-8,-8,-8,3,2
10199,0,Public,Rural,South,Male,1,7,2,4,2,-7,-7,13,2,0,-7,0,-7,0,-7,-7,-7,-7,4,3,-8,5
10200,0,Public,Suburb,West,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-7,-7,-7,3,4,4,2,8
